total_position_B_60,total_position_A_60,total_xp_B_60,total_xp_A_60,total_level_B_60,total_level_A_60,total_goldEarned_B_60,total_goldEarned_A_60,total_minionsKilled_B_60,total_minionsKilled_A_60,CHAMPION_KILL_B_60,CHAMPION_KILL_A_60,WARD_PLACED_B_60,WARD_PLACED_A_60,WARD_KILL_B_60,WARD_KILL_A_60,BUILDING_KILL_B_60,BUILDING_KILL_A_60,ELITE_MONSTER_KILL_B_60,ELITE_MONSTER_KILL_A_60,ITEM_PURCHASED_B_60,ITEM_PURCHASED_A_60,ITEM_SOLD_B_60,ITEM_SOLD_A_60,ITEM_DESTROYED_B_60,ITEM_DESTROYED_A_60,ITEM_UNDO_B_60,ITEM_UNDO_A_60,SKILL_LEVEL_UP_B_60,SKILL_LEVEL_UP_A_60,win,gameDuration,gameDuration_targetlabel
114396.0,92345.0,45129.0,64068.0,59.0,70.0,34601.0,54990.0,376.0,421.0,10.0,44.0,6.0,4.0,0.0,0.0,0.0,7.0,0.0,2.0,84.0,93.0,0.0,3.0,39.0,45.0,0.0,0.0,59.0,70.0,True,29.0,1
131299.0,130898.0,85366.0,91228.0,67.0,87.0,78603.0,71972.0,750.0,741.0,60.0,37.0,103.0,15.0,0.0,2.0,14.0,13.0,2.0,0.0,76.0,100.0,3.0,3.0,35.0,47.0,3.0,2.0,64.0,86.0,True,47.0,2
,,48422.0,54355.0,61.0,66.0,38262.0,48994.0,506.0,581.0,18.0,31.0,59.0,27.0,1.0,6.0,0.0,12.0,0.0,4.0,81.0,90.0,2.0,1.0,36.0,51.0,5.0,2.0,60.0,66.0,True,23.0,1
,,44947.0,30765.0,59.0,47.0,39457.0,24616.0,448.0,288.0,34.0,8.0,32.0,37.0,6.0,5.0,4.0,0.0,3.0,0.0,78.0,81.0,3.0,1.0,40.0,49.0,2.0,1.0,59.0,47.0,False,21.0,1
25746.0,67629.0,101211.0,91436.0,90.0,84.0,81658.0,72742.0,956.0,808.0,55.0,39.0,85.0,146.0,18.0,14.0,10.0,3.0,5.0,3.0,129.0,119.0,6.0,7.0,72.0,73.0,2.0,8.0,90.0,84.0,False,40.0,2
,,62897.0,69487.0,71.0,75.0,56998.0,59132.0,644.0,625.0,38.0,46.0,41.0,199.0,20.0,5.0,3.0,7.0,1.0,4.0,140.0,93.0,4.0,13.0,91.0,45.0,6.0,10.0,71.0,74.0,True,30.0,2
,,102241.0,99408.0,88.0,88.0,83819.0,80768.0,832.0,865.0,57.0,45.0,90.0,72.0,9.0,13.0,9.0,4.0,4.0,4.0,105.0,135.0,5.0,5.0,47.0,82.0,4.0,2.0,88.0,91.0,False,44.0,2
87177.0,36244.0,49532.0,37077.0,62.0,53.0,45632.0,30017.0,563.0,447.0,27.0,10.0,55.0,29.0,6.0,7.0,9.0,0.0,4.0,1.0,88.0,67.0,4.0,1.0,48.0,36.0,5.0,5.0,60.0,53.0,False,21.0,1
138954.0,132099.0,42819.0,57962.0,57.0,68.0,35654.0,49304.0,527.0,654.0,12.0,26.0,50.0,52.0,11.0,13.0,0.0,9.0,0.0,5.0,86.0,96.0,3.0,1.0,50.0,50.0,2.0,4.0,57.0,68.0,True,24.0,1
,,,52743.0,,65.0,,40720.0,,,,,,,,,,,,,,,,,,,,,,,False,23.0,1
48618.0,53049.0,74712.0,69387.0,78.0,73.0,66813.0,60114.0,644.0,671.0,46.0,44.0,49.0,74.0,9.0,4.0,7.0,3.0,4.0,3.0,121.0,107.0,5.0,6.0,70.0,63.0,6.0,6.0,77.0,74.0,False,33.0,2
75677.0,20362.0,83270.0,69305.0,83.0,75.0,69136.0,59725.0,782.0,735.0,48.0,36.0,83.0,46.0,7.0,17.0,11.0,2.0,4.0,2.0,97.0,112.0,5.0,5.0,54.0,58.0,4.0,3.0,82.0,75.0,False,31.0,2
,54948.0,,86266.0,,83.0,,65030.0,,688.0,,,,,,,,,,,,,,,,,,,,,False,43.0,2
,,,64528.0,,71.0,,44485.0,,451.0,,,,,,,,,,,,,,,,,,,,,False,38.0,2
,,,84754.0,,82.0,,60458.0,,,,,,,,,,,,,,,,,,,,,,,False,41.0,2
,,,30059.0,,47.0,,24904.0,,253.0,,,,,,,,,,,,,,,,,,,,,False,19.0,0
